"County","State","Year","Population"
"AUSTIN COUNTY","TX","2015",29447
"BAILEY COUNTY","TX","2015",7199
"BANDERA COUNTY","TX","2015",21146
"BASTROP COUNTY","TX","2015",80198
"BAYLOR COUNTY","TX","2015",3649
"BEE COUNTY","TX","2015",32609
"BELL COUNTY","TX","2015",336094
"BEXAR COUNTY","TX","2015",1894811
"BLANCO COUNTY","TX","2015",11038
"BORDEN COUNTY","TX","2015",656
"BOSQUE COUNTY","TX","2015",17863
"BOWIE COUNTY","TX","2015",93400
"BRAZORIA COUNTY","TX","2015",345738
"BRAZOS COUNTY","TX","2015",215891
"BREWSTER COUNTY","TX","2015",9132
"BRISCOE COUNTY","TX","2015",1513
"BROOKS COUNTY","TX","2015",7238
"BROWN COUNTY","TX","2015",37709
"BURLESON COUNTY","TX","2015",17559
"BURNET COUNTY","TX","2015",44781
"CALDWELL COUNTY","TX","2015",40377
"CALHOUN COUNTY","TX","2015",21881
"CALLAHAN COUNTY","TX","2015",13580
"CAMERON COUNTY","TX","2015",419579
"CAMP COUNTY","TX","2015",12663
"CARSON COUNTY","TX","2015",6007
"CASS COUNTY","TX","2015",30143
"CASTRO COUNTY","TX","2015",7801
"CHAMBERS COUNTY","TX","2015",39059
"CHEROKEE COUNTY","TX","2015",51573
"CHILDRESS COUNTY","TX","2015",7040
"CLAY COUNTY","TX","2015",10353
"COCHRAN COUNTY","TX","2015",2961
"COKE COUNTY","TX","2015",3225
"COLEMAN COUNTY","TX","2015",8315
"COLLIN COUNTY","TX","2015",914578
"COLLINGSWORTH COUNTY","TX","2015",3010
"COLORADO COUNTY","TX","2015",20910
"COMAL COUNTY","TX","2015",128653
"COMANCHE COUNTY","TX","2015",13368
"CONCHO COUNTY","TX","2015",4140
"COOKE COUNTY","TX","2015",39063
"CORYELL COUNTY","TX","2015",76231
"COTTLE COUNTY","TX","2015",1438
"CRANE COUNTY","TX","2015",5007
"CROCKETT COUNTY","TX","2015",3732
"CROSBY COUNTY","TX","2015",5916
"CULBERSON COUNTY","TX","2015",2251
"DALLAM COUNTY","TX","2015",7264
"DALLAS COUNTY","TX","2015",2554233
"DAWSON COUNTY","TX","2015",12984
"DEAF SMITH COUNTY","TX","2015",18802
"DELTA COUNTY","TX","2015",5157
"DENTON COUNTY","TX","2015",779572
"DEWITT COUNTY","TX","2015",20630
"DICKENS COUNTY","TX","2015",2202
"DIMMIT COUNTY","TX","2015",10981
"DONLEY COUNTY","TX","2015",3396
"DUVAL COUNTY","TX","2015",11343
"EASTLAND COUNTY","TX","2015",18161
"ECTOR COUNTY","TX","2015",159835
"EDWARDS COUNTY","TX","2015",1910
"ELLIS COUNTY","TX","2015",163285
"EL PASO COUNTY","TX","2015",832890
"ERATH COUNTY","TX","2015",41221
"FALLS COUNTY","TX","2015",17230
"FANNIN COUNTY","TX","2015",33476
"FAYETTE COUNTY","TX","2015",24967
"FISHER COUNTY","TX","2015",3871
"FLOYD COUNTY","TX","2015",5846
"FOARD COUNTY","TX","2015",1228
"FORT BEND COUNTY","TX","2015",713881
"FRANKLIN COUNTY","TX","2015",10593
"FREESTONE COUNTY","TX","2015",19712
"FRIO COUNTY","TX","2015",19260
"GAINES COUNTY","TX","2015",20213
"GALVESTON COUNTY","TX","2015",321305
"GARZA COUNTY","TX","2015",6369
"GILLESPIE COUNTY","TX","2015",25959
"GLASSCOCK COUNTY","TX","2015",1369
"GOLIAD COUNTY","TX","2015",7510
"GONZALES COUNTY","TX","2015",20538
"GRAY COUNTY","TX","2015",23245
"GRAYSON COUNTY","TX","2015",125549
"GREGG COUNTY","TX","2015",123851
"GRIMES COUNTY","TX","2015",27330
"GUADALUPE COUNTY","TX","2015",150585
"HALE COUNTY","TX","2015",34099
"HALL COUNTY","TX","2015",3092
"HAMILTON COUNTY","TX","2015",8070
"HANSFORD COUNTY","TX","2015",5609
"HARDEMAN COUNTY","TX","2015",3912
"HARDIN COUNTY","TX","2015",55758
"HARRIS COUNTY","TX","2015",4551362
"HARRISON COUNTY","TX","2015",66760
"HARTLEY COUNTY","TX","2015",5674
"HASKELL COUNTY","TX","2015",5817
"HAYS COUNTY","TX","2015",194497
"HEMPHILL COUNTY","TX","2015",4292
"HENDERSON COUNTY","TX","2015",79447
"HIDALGO COUNTY","TX","2015",840113
"HILL COUNTY","TX","2015",34845
"HOCKLEY COUNTY","TX","2015",23315
"HOOD COUNTY","TX","2015",55330
"HOPKINS COUNTY","TX","2015",35959
"HOUSTON COUNTY","TX","2015",22736
"HOWARD COUNTY","TX","2015",37134
"HUDSPETH COUNTY","TX","2015",3436
"HUNT COUNTY","TX","2015",89674
"HUTCHINSON COUNTY","TX","2015",21781
"IRION COUNTY","TX","2015",1543
"JACK COUNTY","TX","2015",8839
"JACKSON COUNTY","TX","2015",14792
"JASPER COUNTY","TX","2015",35250
"JEFF DAVIS COUNTY","TX","2015",2204
"JEFFERSON COUNTY","TX","2015",254889
"JIM HOGG COUNTY","TX","2015",5284
"JIM WELLS COUNTY","TX","2015",41469
"JOHNSON COUNTY","TX","2015",159390
"JONES COUNTY","TX","2015",19983
"KARNES COUNTY","TX","2015",15247
"KAUFMAN COUNTY","TX","2015",114161
"KENDALL COUNTY","TX","2015",39968
"KENEDY COUNTY","TX","2015",433
"KENT COUNTY","TX","2015",747
"KERR COUNTY","TX","2015",50753
"KIMBLE COUNTY","TX","2015",4392
"KING COUNTY","TX","2015",284
"KINNEY COUNTY","TX","2015",3593
"KLEBERG COUNTY","TX","2015",31398
"KNOX COUNTY","TX","2015",3792
"LAMAR COUNTY","TX","2015",49367
"LAMB COUNTY","TX","2015",13269
"LAMPASAS COUNTY","TX","2015",20416
"LA SALLE COUNTY","TX","2015",7644
"LAVACA COUNTY","TX","2015",19916
"LEE COUNTY","TX","2015",16883
"LEON COUNTY","TX","2015",17031
"LIBERTY COUNTY","TX","2015",79542
"LIMESTONE COUNTY","TX","2015",23441
"LIPSCOMB COUNTY","TX","2015",3557
"LIVE OAK COUNTY","TX","2015",12158
"LLANO COUNTY","TX","2015",20057
"LOVING COUNTY","TX","2015",119
"LUBBOCK COUNTY","TX","2015",298463
"LYNN COUNTY","TX","2015",5746
"MCCULLOCH COUNTY","TX","2015",8253
"MCLENNAN COUNTY","TX","2015",245368
"MCMULLEN COUNTY","TX","2015",829
"MADISON COUNTY","TX","2015",13936
"MARION COUNTY","TX","2015",10127
"MARTIN COUNTY","TX","2015",5676
"MASON COUNTY","TX","2015",4043
"MATAGORDA COUNTY","TX","2015",36762
"MAVERICK COUNTY","TX","2015",57658
"MEDINA COUNTY","TX","2015",48380
"MENARD COUNTY","TX","2015",2131
"MIDLAND COUNTY","TX","2015",162012
"MILAM COUNTY","TX","2015",24380
"MILLS COUNTY","TX","2015",4887
"MITCHELL COUNTY","TX","2015",8856
"MONTAGUE COUNTY","TX","2015",19280
"MONTGOMERY COUNTY","TX","2015",535214
"MOORE COUNTY","TX","2015",21880
"MORRIS COUNTY","TX","2015",12391
"MOTLEY COUNTY","TX","2015",1146
"NACOGDOCHES COUNTY","TX","2015",65464
"NAVARRO COUNTY","TX","2015",48170
"NEWTON COUNTY","TX","2015",14169
"NOLAN COUNTY","TX","2015",15041
"NUECES COUNTY","TX","2015",360437
"OCHILTREE COUNTY","TX","2015",10697
"OLDHAM COUNTY","TX","2015",2064
"ORANGE COUNTY","TX","2015",83928
"PALO PINTO COUNTY","TX","2015",27956
"PANOLA COUNTY","TX","2015",23660
"PARKER COUNTY","TX","2015",125568
"PARMER COUNTY","TX","2015",9800
"PECOS COUNTY","TX","2015",16017
"POLK COUNTY","TX","2015",46614
"POTTER COUNTY","TX","2015",121129
"PRESIDIO COUNTY","TX","2015",7054
"RAINS COUNTY","TX","2015",11129
"RANDALL COUNTY","TX","2015",130406
"REAGAN COUNTY","TX","2015",3809
"REAL COUNTY","TX","2015",3297
"RED RIVER COUNTY","TX","2015",12363
"REEVES COUNTY","TX","2015",14906
"REFUGIO COUNTY","TX","2015",7320
"ROBERTS COUNTY","TX","2015",910
"ROBERTSON COUNTY","TX","2015",16688
"ROCKWALL COUNTY","TX","2015",90121
"RUNNELS COUNTY","TX","2015",10356
"RUSK COUNTY","TX","2015",52930
"SABINE COUNTY","TX","2015",10447
"SAN AUGUSTINE COUNTY","TX","2015",8340
"SAN JACINTO COUNTY","TX","2015",27361
"SAN PATRICIO COUNTY","TX","2015",67084
"SAN SABA COUNTY","TX","2015",5917
"SCHLEICHER COUNTY","TX","2015",3193
"SCURRY COUNTY","TX","2015",17588
"SHACKELFORD COUNTY","TX","2015",3345
"SHELBY COUNTY","TX","2015",25503
"SHERMAN COUNTY","TX","2015",3060
"SMITH COUNTY","TX","2015",222410
"SOMERVELL COUNTY","TX","2015",8613
"STARR COUNTY","TX","2015",63512
"STEPHENS COUNTY","TX","2015",9383
"STERLING COUNTY","TX","2015",1331
"STONEWALL COUNTY","TX","2015",1399
"SUTTON COUNTY","TX","2015",3896
"SWISHER COUNTY","TX","2015",7481
"TARRANT COUNTY","TX","2015",1983642
"TAYLOR COUNTY","TX","2015",135915
"TERRELL COUNTY","TX","2015",864
"TERRY COUNTY","TX","2015",12755
"THROCKMORTON COUNTY","TX","2015",1559
"TITUS COUNTY","TX","2015",32720
"TOM GREEN COUNTY","TX","2015",117598
"TRAVIS COUNTY","TX","2015",1178292
"TRINITY COUNTY","TX","2015",14507
"TYLER COUNTY","TX","2015",21364
"UPSHUR COUNTY","TX","2015",40381
"UPTON COUNTY","TX","2015",3650
"UVALDE COUNTY","TX","2015",26925
"VAL VERDE COUNTY","TX","2015",48906
"VAN ZANDT COUNTY","TX","2015",53410
"VICTORIA COUNTY","TX","2015",92082
"WALKER COUNTY","TX","2015",70718
"WALLER COUNTY","TX","2015",48639
"WARD COUNTY","TX","2015",11639
"WASHINGTON COUNTY","TX","2015",34869
"WEBB COUNTY","TX","2015",269795
"WHARTON COUNTY","TX","2015",41379
"WHEELER COUNTY","TX","2015",5668
"WICHITA COUNTY","TX","2015",130871
"WILBARGER COUNTY","TX","2015",13049
"WILLACY COUNTY","TX","2015",21882
"WILLIAMSON COUNTY","TX","2015",507420
"WILSON COUNTY","TX","2015",47162
"WINKLER COUNTY","TX","2015",7995
"WISE COUNTY","TX","2015",62864
"WOOD COUNTY","TX","2015",43220
"YOAKUM COUNTY","TX","2015",8623
"YOUNG COUNTY","TX","2015",18146
"ZAPATA COUNTY","TX","2015",14516
"ZAVALA COUNTY","TX","2015",12296
"ANDERSON COUNTY","TX","2016",57558
"ANDREWS COUNTY","TX","2016",17837
"ANGELINA COUNTY","TX","2016",87830
"ARANSAS COUNTY","TX","2016",25275
"ARCHER COUNTY","TX","2016",8774
"ARMSTRONG COUNTY","TX","2016",1856
"ATASCOSA COUNTY","TX","2016",48666
"AUSTIN COUNTY","TX","2016",29637
"BAILEY COUNTY","TX","2016",7180
"BANDERA COUNTY","TX","2016",21710
"BASTROP COUNTY","TX","2016",82754
"BAYLOR COUNTY","TX","2016",3638
"BEE COUNTY","TX","2016",32835
"BELL COUNTY","TX","2016",341203
"BEXAR COUNTY","TX","2016",1927747
"BLANCO COUNTY","TX","2016",11341
"BORDEN COUNTY","TX","2016",660
"BOSQUE COUNTY","TX","2016",18010
"BOWIE COUNTY","TX","2016",93881
"BRAZORIA COUNTY","TX","2016",353828
"BRAZOS COUNTY","TX","2016",219561
"BREWSTER COUNTY","TX","2016",9193
"BRISCOE COUNTY","TX","2016",1486
"BROOKS COUNTY","TX","2016",7263
"BROWN COUNTY","TX","2016",38065
"BURLESON COUNTY","TX","2016",17811
"BURNET COUNTY","TX","2016",45914
"CALDWELL COUNTY","TX","2016",41108
"CALHOUN COUNTY","TX","2016",21942
"CALLAHAN COUNTY","TX","2016",13777
"CAMERON COUNTY","TX","2016",421766
"CAMP COUNTY","TX","2016",12775
"CARSON COUNTY","TX","2016",6107
"CASS COUNTY","TX","2016",30080
"CASTRO COUNTY","TX","2016",7823
"CHAMBERS COUNTY","TX","2016",40283
"CHEROKEE COUNTY","TX","2016",51896
"CHILDRESS COUNTY","TX","2016",7095
"CLAY COUNTY","TX","2016",10242
"COCHRAN COUNTY","TX","2016",2911
"COKE COUNTY","TX","2016",3263
"COLEMAN COUNTY","TX","2016",8421
"COLLIN COUNTY","TX","2016",942453
"COLLINGSWORTH COUNTY","TX","2016",3028
"COLORADO COUNTY","TX","2016",21027
"COMAL COUNTY","TX","2016",134142
"COMANCHE COUNTY","TX","2016",13521
"CONCHO COUNTY","TX","2016",4273
"COOKE COUNTY","TX","2016",39244
"CORYELL COUNTY","TX","2016",74943
"COTTLE COUNTY","TX","2016",1404
"CRANE COUNTY","TX","2016",4807
"CROCKETT COUNTY","TX","2016",3653
"CROSBY COUNTY","TX","2016",5917
"CULBERSON COUNTY","TX","2016",2219
"DALLAM COUNTY","TX","2016",7256
"DALLAS COUNTY","TX","2016",2587462
"DAWSON COUNTY","TX","2016",13042
"DEAF SMITH COUNTY","TX","2016",18850
"DELTA COUNTY","TX","2016",5146
"DENTON COUNTY","TX","2016",808299
"DEWITT COUNTY","TX","2016",20618
"DICKENS COUNTY","TX","2016",2201
"DIMMIT COUNTY","TX","2016",10784
"DONLEY COUNTY","TX","2016",3392
"DUVAL COUNTY","TX","2016",11449
"EASTLAND COUNTY","TX","2016",18303
"ECTOR COUNTY","TX","2016",157580
"EDWARDS COUNTY","TX","2016",1918
"ELLIS COUNTY","TX","2016",168381
"EL PASO COUNTY","TX","2016",837147
"ERATH COUNTY","TX","2016",41443
"FALLS COUNTY","TX","2016",17331
"FANNIN COUNTY","TX","2016",33855
"FAYETTE COUNTY","TX","2016",25070
"FISHER COUNTY","TX","2016",3881
"FLOYD COUNTY","TX","2016",5876
"FOARD COUNTY","TX","2016",1211
"FORT BEND COUNTY","TX","2016",741958
"FRANKLIN COUNTY","TX","2016",10659
"FREESTONE COUNTY","TX","2016",19647
"FRIO COUNTY","TX","2016",19385
"GAINES COUNTY","TX","2016",20481
"GALVESTON COUNTY","TX","2016",329306
"GARZA COUNTY","TX","2016",6444
"GILLESPIE COUNTY","TX","2016",26305
"GLASSCOCK COUNTY","TX","2016",1350
"GOLIAD COUNTY","TX","2016",7521
"GONZALES COUNTY","TX","2016",20863
"GRAY COUNTY","TX","2016",22738
"GRAYSON COUNTY","TX","2016",128206
"GREGG COUNTY","TX","2016",123594
"GRIMES COUNTY","TX","2016",27574
"GUADALUPE COUNTY","TX","2016",154596
"HALE COUNTY","TX","2016",34209
"HALL COUNTY","TX","2016",3112
"HAMILTON COUNTY","TX","2016",8231
"HANSFORD COUNTY","TX","2016",5532
"HARDEMAN COUNTY","TX","2016",3991
"HARDIN COUNTY","TX","2016",56261
"HARRIS COUNTY","TX","2016",4617041
"HARRISON COUNTY","TX","2016",66730
"HARTLEY COUNTY","TX","2016",5706
"HASKELL COUNTY","TX","2016",5765
"HAYS COUNTY","TX","2016",204345
"HEMPHILL COUNTY","TX","2016",4126
"HENDERSON COUNTY","TX","2016",80034
"HIDALGO COUNTY","TX","2016",850187
"HILL COUNTY","TX","2016",35171
"HOCKLEY COUNTY","TX","2016",23103
"HOOD COUNTY","TX","2016",56758
"HOPKINS COUNTY","TX","2016",36203
"HOUSTON COUNTY","TX","2016",22888
"HOWARD COUNTY","TX","2016",36618
"HUDSPETH COUNTY","TX","2016",4073
"HUNT COUNTY","TX","2016",91939
"HUTCHINSON COUNTY","TX","2016",21570
"IRION COUNTY","TX","2016",1570
"JACK COUNTY","TX","2016",8766
"JACKSON COUNTY","TX","2016",14851
"JASPER COUNTY","TX","2016",35401
"JEFF DAVIS COUNTY","TX","2016",2245
"JEFFERSON COUNTY","TX","2016",255954
"JIM HOGG COUNTY","TX","2016",5244
"JIM WELLS COUNTY","TX","2016",41115
"JOHNSON COUNTY","TX","2016",162915
"JONES COUNTY","TX","2016",19994
"KARNES COUNTY","TX","2016",15264
"KAUFMAN COUNTY","TX","2016",118046
"KENDALL COUNTY","TX","2016",41964
"KENEDY COUNTY","TX","2016",428
"KENT COUNTY","TX","2016",752
"KERR COUNTY","TX","2016",51296
"KIMBLE COUNTY","TX","2016",4428
"KING COUNTY","TX","2016",294
"KINNEY COUNTY","TX","2016",3640
"KLEBERG COUNTY","TX","2016",31347
"KNOX COUNTY","TX","2016",3740
"LAMAR COUNTY","TX","2016",49565
"LAMB COUNTY","TX","2016",13223
"LAMPASAS COUNTY","TX","2016",20657
"LA SALLE COUNTY","TX","2016",7619
"LAVACA COUNTY","TX","2016",19910
"LEE COUNTY","TX","2016",16998
"LEON COUNTY","TX","2016",17196
"LIBERTY COUNTY","TX","2016",81377
"LIMESTONE COUNTY","TX","2016",23527
"LIPSCOMB COUNTY","TX","2016",3509
"LIVE OAK COUNTY","TX","2016",12022
"LLANO COUNTY","TX","2016",20570
"LOVING COUNTY","TX","2016",115
"LUBBOCK COUNTY","TX","2016",302301
"LYNN COUNTY","TX","2016",5795
"MCCULLOCH COUNTY","TX","2016",8121
"MCLENNAN COUNTY","TX","2016",247478
"MCMULLEN COUNTY","TX","2016",815
"MADISON COUNTY","TX","2016",14094
"MARION COUNTY","TX","2016",10087
"MARTIN COUNTY","TX","2016",5688
"MASON COUNTY","TX","2016",4161
"MATAGORDA COUNTY","TX","2016",37117
"MAVERICK COUNTY","TX","2016",57989
"MEDINA COUNTY","TX","2016",49196
"MENARD COUNTY","TX","2016",2102
"MIDLAND COUNTY","TX","2016",163473
"MILAM COUNTY","TX","2016",24735
"MILLS COUNTY","TX","2016",4894
"MITCHELL COUNTY","TX","2016",8479
"MONTAGUE COUNTY","TX","2016",19436
"MONTGOMERY COUNTY","TX","2016",554522
"MOORE COUNTY","TX","2016",21935
"MORRIS COUNTY","TX","2016",12490
"MOTLEY COUNTY","TX","2016",1172
"NACOGDOCHES COUNTY","TX","2016",65662
"NAVARRO COUNTY","TX","2016",48375
"NEWTON COUNTY","TX","2016",14186
"NOLAN COUNTY","TX","2016",14968
"NUECES COUNTY","TX","2016",361529
"OCHILTREE COUNTY","TX","2016",10295
"OLDHAM COUNTY","TX","2016",2074
"ORANGE COUNTY","TX","2016",84508
"PALO PINTO COUNTY","TX","2016",28132
"PANOLA COUNTY","TX","2016",23440
"PARKER COUNTY","TX","2016",128861
"PARMER COUNTY","TX","2016",9818
"PECOS COUNTY","TX","2016",15877
"POLK COUNTY","TX","2016",47735
"POTTER COUNTY","TX","2016",120542
"PRESIDIO COUNTY","TX","2016",7166
"RAINS COUNTY","TX","2016",11307
"RANDALL COUNTY","TX","2016",132457
"REAGAN COUNTY","TX","2016",3738
"REAL COUNTY","TX","2016",3397
"RED RIVER COUNTY","TX","2016",12217
"REEVES COUNTY","TX","2016",15069
"REFUGIO COUNTY","TX","2016",7293
"ROBERTS COUNTY","TX","2016",916
"ROBERTSON COUNTY","TX","2016",16858
"ROCKWALL COUNTY","TX","2016",93419
"RUNNELS COUNTY","TX","2016",10255
"RUSK COUNTY","TX","2016",52856
"SABINE COUNTY","TX","2016",10385
"SAN AUGUSTINE COUNTY","TX","2016",8283
"SAN JACINTO COUNTY","TX","2016",27757
"SAN PATRICIO COUNTY","TX","2016",67262
"SAN SABA COUNTY","TX","2016",5872
"SCHLEICHER COUNTY","TX","2016",3064
"SCURRY COUNTY","TX","2016",17430
"SHACKELFORD COUNTY","TX","2016",3364
"SHELBY COUNTY","TX","2016",25777
"SHERMAN COUNTY","TX","2016",3075
"SMITH COUNTY","TX","2016",225305
"SOMERVELL COUNTY","TX","2016",8680
"STARR COUNTY","TX","2016",63931
"STEPHENS COUNTY","TX","2016",9408
"STERLING COUNTY","TX","2016",1351
"STONEWALL COUNTY","TX","2016",1402
"SUTTON COUNTY","TX","2016",3865
"SWISHER COUNTY","TX","2016",7440
"TARRANT COUNTY","TX","2016",2021746
"TAYLOR COUNTY","TX","2016",135962
"TERRELL COUNTY","TX","2016",818
"TERRY COUNTY","TX","2016",12826
"THROCKMORTON COUNTY","TX","2016",1548
"TITUS COUNTY","TX","2016",32615
"TOM GREEN COUNTY","TX","2016",117792
"TRAVIS COUNTY","TX","2016",1204582
"TRINITY COUNTY","TX","2016",14513
"TYLER COUNTY","TX","2016",21434
"UPSHUR COUNTY","TX","2016",40864
"UPTON COUNTY","TX","2016",3697
"UVALDE COUNTY","TX","2016",27106
"VAL VERDE COUNTY","TX","2016",48953
"VAN ZANDT COUNTY","TX","2016",54377
"VICTORIA COUNTY","TX","2016",92379
"WALKER COUNTY","TX","2016",71701
"WALLER COUNTY","TX","2016",50058
"WARD COUNTY","TX","2016",11589
"WASHINGTON COUNTY","TX","2016",34821
"WEBB COUNTY","TX","2016",272401
"WHARTON COUNTY","TX","2016",41634
"WHEELER COUNTY","TX","2016",5548
"WICHITA COUNTY","TX","2016",131310
"WILBARGER COUNTY","TX","2016",12894
"WILLACY COUNTY","TX","2016",21760
"WILLIAMSON COUNTY","TX","2016",527769
"WILSON COUNTY","TX","2016",48190
"WINKLER COUNTY","TX","2016",7872
"WISE COUNTY","TX","2016",64465
"WOOD COUNTY","TX","2016",43823
"YOAKUM COUNTY","TX","2016",8625
"YOUNG COUNTY","TX","2016",18079
"ZAPATA COUNTY","TX","2016",14449
"ZAVALA COUNTY","TX","2016",12091
"ANDERSON COUNTY","TX","2017",57741
"ANDREWS COUNTY","TX","2017",17722
"ANGELINA COUNTY","TX","2017",87805
"ARANSAS COUNTY","TX","2017",25572
"ARCHER COUNTY","TX","2017",8809
"ARMSTRONG COUNTY","TX","2017",1879
"ATASCOSA COUNTY","TX","2017",48981
"AUSTIN COUNTY","TX","2017",29786
"BAILEY COUNTY","TX","2017",7077
"BANDERA COUNTY","TX","2017",22351
"BASTROP COUNTY","TX","2017",84761
"BAYLOR COUNTY","TX","2017",3581
"BEE COUNTY","TX","2017",32563
"BELL COUNTY","TX","2017",347833
"BEXAR COUNTY","TX","2017",1958578
"BLANCO COUNTY","TX","2017",11626
"BORDEN COUNTY","TX","2017",673
"BOSQUE COUNTY","TX","2017",18326
"BOWIE COUNTY","TX","2017",94012
"BRAZORIA COUNTY","TX","2017",362457
"BRAZOS COUNTY","TX","2017",222830
"BREWSTER COUNTY","TX","2017",9337
"BRISCOE COUNTY","TX","2017",1528
"BROOKS COUNTY","TX","2017",7235
"BROWN COUNTY","TX","2017",38053
"BURLESON COUNTY","TX","2017",18011
"BURNET COUNTY","TX","2017",46804
"CALDWELL COUNTY","TX","2017",42338
"CALHOUN COUNTY","TX","2017",21744
"CALLAHAN COUNTY","TX","2017",13946
"CAMERON COUNTY","TX","2017",423725
"CAMP COUNTY","TX","2017",12855
"CARSON COUNTY","TX","2017",6032
"CASS COUNTY","TX","2017",30012
"CASTRO COUNTY","TX","2017",7843
"CHAMBERS COUNTY","TX","2017",41441
"CHEROKEE COUNTY","TX","2017",52240
"CHILDRESS COUNTY","TX","2017",7067
"CLAY COUNTY","TX","2017",10421
"COCHRAN COUNTY","TX","2017",2851
"COKE COUNTY","TX","2017",3306
"COLEMAN COUNTY","TX","2017",8430
"COLLIN COUNTY","TX","2017",969603
"COLLINGSWORTH COUNTY","TX","2017",2987
"COLORADO COUNTY","TX","2017",21232
"COMAL COUNTY","TX","2017",141009
"COMANCHE COUNTY","TX","2017",13573
"CONCHO COUNTY","TX","2017",2717
"COOKE COUNTY","TX","2017",39895
"CORYELL COUNTY","TX","2017",74913
"COTTLE COUNTY","TX","2017",1387
"CRANE COUNTY","TX","2017",4740
"CROCKETT COUNTY","TX","2017",3564
"CROSBY COUNTY","TX","2017",5899
"CULBERSON COUNTY","TX","2017",2231
"DALLAM COUNTY","TX","2017",7208
"DALLAS COUNTY","TX","2017",2618148
"DAWSON COUNTY","TX","2017",12813
"DEAF SMITH COUNTY","TX","2017",18836
"DELTA COUNTY","TX","2017",5298
"DENTON COUNTY","TX","2017",836210
"DEWITT COUNTY","TX","2017",20226
"DICKENS COUNTY","TX","2017",2209
"DIMMIT COUNTY","TX","2017",10418
"DONLEY COUNTY","TX","2017",3311
"DUVAL COUNTY","TX","2017",11273
"EASTLAND COUNTY","TX","2017",18411
"ECTOR COUNTY","TX","2017",157087
"EDWARDS COUNTY","TX","2017",1953
"ELLIS COUNTY","TX","2017",173620
"EL PASO COUNTY","TX","2017",840410
"ERATH COUNTY","TX","2017",41969
"FALLS COUNTY","TX","2017",17437
"FANNIN COUNTY","TX","2017",34446
"FAYETTE COUNTY","TX","2017",25272
"FISHER COUNTY","TX","2017",3880
"FLOYD COUNTY","TX","2017",5855
"FOARD COUNTY","TX","2017",1222
"FORT BEND COUNTY","TX","2017",764828
"FRANKLIN COUNTY","TX","2017",10767
"FREESTONE COUNTY","TX","2017",19625
"FRIO COUNTY","TX","2017",19600
"GAINES COUNTY","TX","2017",20638
"GALVESTON COUNTY","TX","2017",335036
"GARZA COUNTY","TX","2017",6528
"GILLESPIE COUNTY","TX","2017",26646
"GLASSCOCK COUNTY","TX","2017",1348
"GOLIAD COUNTY","TX","2017",7562
"GONZALES COUNTY","TX","2017",20893
"GRAY COUNTY","TX","2017",22404
"GRAYSON COUNTY","TX","2017",131140
"GREGG COUNTY","TX","2017",123367
"GRIMES COUNTY","TX","2017",28082
"GUADALUPE COUNTY","TX","2017",159659
"HALE COUNTY","TX","2017",34134
"HALL COUNTY","TX","2017",3071
"HAMILTON COUNTY","TX","2017",8422
"HANSFORD COUNTY","TX","2017",5447
"HARDEMAN COUNTY","TX","2017",3994
"HARDIN COUNTY","TX","2017",57139
"HARRIS COUNTY","TX","2017",4652980
"HARRISON COUNTY","TX","2017",66661
"HARTLEY COUNTY","TX","2017",5691
"HASKELL COUNTY","TX","2017",5746
"HAYS COUNTY","TX","2017",214485
"HEMPHILL COUNTY","TX","2017",4024
"HENDERSON COUNTY","TX","2017",81064
"HIDALGO COUNTY","TX","2017",860661
"HILL COUNTY","TX","2017",35852
"HOCKLEY COUNTY","TX","2017",23088
"HOOD COUNTY","TX","2017",58273
"HOPKINS COUNTY","TX","2017",36496
"HOUSTON COUNTY","TX","2017",23021
"HOWARD COUNTY","TX","2017",36040
"HUDSPETH COUNTY","TX","2017",4408
"HUNT COUNTY","TX","2017",93872
"HUTCHINSON COUNTY","TX","2017",21375
"IRION COUNTY","TX","2017",1516
"JACK COUNTY","TX","2017",8832
"JACKSON COUNTY","TX","2017",14805
"JASPER COUNTY","TX","2017",35561
"JEFF DAVIS COUNTY","TX","2017",2280
"JEFFERSON COUNTY","TX","2017",256299
"JIM HOGG COUNTY","TX","2017",5202
"JIM WELLS COUNTY","TX","2017",40871
"JOHNSON COUNTY","TX","2017",167301
"JONES COUNTY","TX","2017",19983
"KARNES COUNTY","TX","2017",15187
"KAUFMAN COUNTY","TX","2017",122883
"KENDALL COUNTY","TX","2017",44026
"KENEDY COUNTY","TX","2017",417
"KENT COUNTY","TX","2017",763
"KERR COUNTY","TX","2017",51720
"KIMBLE COUNTY","TX","2017",4410
"KING COUNTY","TX","2017",296
"KINNEY COUNTY","TX","2017",3745
"KLEBERG COUNTY","TX","2017",31088
"KNOX COUNTY","TX","2017",3710
"LAMAR COUNTY","TX","2017",49587
"LAMB COUNTY","TX","2017",13210
"LAMPASAS COUNTY","TX","2017",21027
"LA SALLE COUNTY","TX","2017",7584
"LAVACA COUNTY","TX","2017",20062
"LEE COUNTY","TX","2017",17183
"LEON COUNTY","TX","2017",17243
"LIBERTY COUNTY","TX","2017",83658
"LIMESTONE COUNTY","TX","2017",23527
"LIPSCOMB COUNTY","TX","2017",3378
"LIVE OAK COUNTY","TX","2017",12174
"LLANO COUNTY","TX","2017",21210
"LOVING COUNTY","TX","2017",134
"LUBBOCK COUNTY","TX","2017",305225
"LYNN COUNTY","TX","2017",5859
"MCCULLOCH COUNTY","TX","2017",7957
